Borough,Year,FIPS County Code,NTA Code,NTA Name,Population
Bronx,2010,5,BX01,Claremont-Bathgate,"31,078"
Bronx,2010,5,BX03,Eastchester-Edenwald-Baychester,"34,517"
Bronx,2010,5,BX05,Bedford Park-Fordham North,"54,415"
Bronx,2010,5,BX06,Belmont,"27,378"
Bronx,2010,5,BX07,Bronxdale,"35,538"
Bronx,2010,5,BX08,West Farms-Bronx River,"35,011"
Bronx,2010,5,BX09,Soundview-Castle Hill-Clason Point-Harding Park,"53,686"
Bronx,2010,5,BX10,Pelham Bay-Country Club-City Island,"26,583"
Bronx,2010,5,BX13,Co-Op City,"43,752"
Bronx,2010,5,BX14,East Concourse-Concourse Village,"62,284"
Bronx,2010,5,BX17,East Tremont,"43,423"
Bronx,2010,5,BX22,North Riverdale-Fieldston-Riverdale,"27,860"
Bronx,2010,5,BX26,Highbridge,"37,727"
Bronx,2010,5,BX27,Hunts Point,"27,204"
Bronx,2010,5,BX28,Van Cortlandt Village,"50,100"
Bronx,2010,5,BX29,Spuyten Duyvil-Kingsbridge,"30,161"
Bronx,2010,5,BX30,Kingsbridge Heights,"32,496"
Bronx,2010,5,BX31,Allerton-Pelham Gardens,"28,903"
Bronx,2010,5,BX33,Longwood,"26,196"
Bronx,2010,5,BX34,Melrose South-Mott Haven North,"39,214"
Bronx,2010,5,BX35,Morrisania-Melrose,"37,865"
Bronx,2010,5,BX36,University Heights-Morris Heights,"54,188"
Bronx,2010,5,BX37,Van Nest-Morris Park-Westchester Square,"29,250"
Bronx,2010,5,BX39,Mott Haven-Port Morris,"52,413"
Bronx,2010,5,BX40,Fordham South,"28,262"
Bronx,2010,5,BX41,Mount Hope,"51,807"
Bronx,2010,5,BX43,Norwood,"40,494"
Bronx,2010,5,BX44,Williamsbridge-Olinville,"61,321"
Bronx,2010,5,BX46,Parkchester,"29,821"
Bronx,2010,5,BX49,Pelham Parkway,"30,073"
Bronx,2010,5,BX52,Schuylerville-Throgs Neck-Edgewater Park,"44,167"
Bronx,2010,5,BX55,Soundview-Bruckner,"35,634"
Bronx,2010,5,BX59,Westchester-Unionport,"27,248"
Bronx,2010,5,BX62,Woodlawn-Wakefield,"42,483"
Bronx,2010,5,BX63,West Concourse,"39,282"
Bronx,2010,5,BX75,Crotona Park East,"20,277"
Bronx,2010,5,BX98,Rikers Island,"11,091"
Bronx,2010,5,BX99,park-cemetery-etc-Bronx,"1,906"
Brooklyn,2010,47,BK09,Brooklyn Heights-Cobble Hill,"22,887"
Brooklyn,2010,47,BK17,Sheepshead Bay-Gerritsen Beach-Manhattn Bch,"64,518"
Brooklyn,2010,47,BK19,Brighton Beach,"35,547"
Brooklyn,2010,47,BK21,Seagate-Coney Island,"31,965"
Brooklyn,2010,47,BK23,West Brighton,"17,750"
Brooklyn,2010,47,BK25,Homecrest,"44,316"
Brooklyn,2010,47,BK26,Gravesend,"29,436"
Brooklyn,2010,47,BK27,Bath Beach,"29,931"
Brooklyn,2010,47,BK28,Bensonhurst West,"88,727"
Brooklyn,2010,47,BK29,Bensonhurst East,"62,978"
Brooklyn,2010,47,BK30,Dyker Heights,"42,419"
Brooklyn,2010,47,BK31,Bay Ridge,"79,371"
Brooklyn,2010,47,BK32,Sunset Park West,"54,041"
Brooklyn,2010,47,BK33,Carroll Gardens-Columbia Street-Red Hook,"38,353"
Brooklyn,2010,47,BK34,Sunset Park East,"72,340"
Brooklyn,2010,47,BK35,Stuyvesant Heights,"63,504"
Brooklyn,2010,47,BK37,Park Slope-Gowanus,"67,649"
Brooklyn,2010,47,BK38,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill,"34,495"
Brooklyn,2010,47,BK40,Windsor Terrace,"20,988"
Brooklyn,2010,47,BK41,Kensington-Ocean Parkway,"36,891"
Brooklyn,2010,47,BK42,Flatbush,"105,804"
Brooklyn,2010,47,BK43,Midwood,"52,835"
Brooklyn,2010,47,BK44,Madison,"38,917"
Brooklyn,2010,47,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,"45,231"
Brooklyn,2010,47,BK46,Ocean Parkway South,"20,299"
Brooklyn,2010,47,BK50,Canarsie,"83,693"
Brooklyn,2010,47,BK58,Flatlands,"64,762"
Brooklyn,2010,47,BK60,Prospect Lefferts Gardens-Wingate,"67,459"
Brooklyn,2010,47,BK61,Crown Heights North,"103,169"
Brooklyn,2010,47,BK63,Crown Heights South,"39,670"
Brooklyn,2010,47,BK64,Prospect Heights,"19,849"
Brooklyn,2010,47,BK68,Fort Greene,"26,079"
Brooklyn,2010,47,BK69,Clinton Hill,"34,791"
Brooklyn,2010,47,BK72,Williamsburg,"32,926"
Brooklyn,2010,47,BK73,North Side-South Side,"45,774"
Brooklyn,2010,47,BK75,Bedford,"70,713"
Brooklyn,2010,47,BK76,Greenpoint,"34,719"
Brooklyn,2010,47,BK77,Bushwick North,"57,138"
Brooklyn,2010,47,BK78,Bushwick South,"72,101"
Brooklyn,2010,47,BK79,Ocean Hill,"31,935"
Brooklyn,2010,47,BK81,Brownsville,"58,300"
Brooklyn,2010,47,BK82,East New York,"91,958"
Brooklyn,2010,47,BK83,Cypress Hills-City Line,"49,223"
Brooklyn,2010,47,BK85,East New York (Pennsylvania Ave),"29,343"
Brooklyn,2010,47,BK88,Borough Park,"106,357"
Brooklyn,2010,47,BK90,East Williamsburg,"34,158"
