,change in size,neighborhood,2020 offense_level size
0,-8.136593591905566,alphabet city,2179
0,-25.704225352112676,annadale,211
0,-13.765182186234817,arden heights,426
0,-11.494252873563218,arrochar,462
0,2.3245984784446323,arverne,2421
0,-8.715671764512416,astoria,5551
0,-26.970227670753065,bath beach,834
0,17.114093959731544,battery park city,349
0,-20.867208672086722,bay ridge,2336
0,-12.427745664739884,baychester,909
0,-12.238219895287958,bayside,1341
0,-23.019338739862757,bedford park,3702
0,-8.585001696640651,bedford-stuyvesant,8082
0,-10.74766355140187,beechhurst,382
0,7.5,belle harbor,86
0,-9.750297265160523,bellerose,759
0,-11.849003844809507,belmont,5044
0,-19.93479273404751,bensonhurst,1719
0,-27.47126436781609,bergen beach,631
0,-12.08515967438948,boerum hill,1404
0,-13.955516790231137,borough park,1973
0,0.09852216748768472,briarwood,1016
0,-9.8531501657982,brighton beach,1903
0,-2.0618556701030926,broad channel,95
0,-9.686411149825783,bronxdale,1296
0,-17.45689655172414,brooklyn heights,383
0,-18.716946424465394,brownsville,10605
0,-28.816793893129773,bulls head,373
0,-4.934722721283986,bushwick,7937
0,-6.390639063906391,cambria heights,1040
0,-21.59310708633726,canarsie,4459
0,12.688894219237227,carnegie hill,4698
0,-28.608923884514436,carroll gardens,544
0,-22.610985703536493,castle hill,2057
0,-19.230769230769234,castleton corners,210
0,-57.98319327731093,charleston,50
0,-17.00137551581843,chelsea,3017
0,-19.618665328650277,chinatown,1602
0,-2.857142857142857,city island,170
0,-18.477043673012318,clifton,728
0,-33.431770641072966,clinton,5410
0,11.28985083357707,clinton hill,3805
0,-30.702136938508506,co-op city,1589
0,-15.734720416124837,cobble hill,648
0,23.280802292263612,college point,1721
0,-30.316742081447963,concord,308
0,-19.055232558139533,concourse village,5569
0,-27.96289934730333,coney island,2097
0,-14.531893004115226,corona,3323
0,-10.59001512859304,country club,591
0,-21.56498673740053,crown heights,8871
0,-21.451733599401347,cypress hills,12596
0,-6.521739130434782,dongan hills,559
0,-3.8560411311053984,douglaston,374
0,-24.55808080808081,downtown brooklyn,2390
0,-16.470588235294116,dumbo,284
0,-0.4375303840544483,dyker heights,2048
0,-1.972872996300863,east elmhurst,4770
0,-16.336900454230502,east harlem,10867
0,-24.864864864864867,east village,2641
0,-1.4623172103487065,elmhurst,2628
0,-23.484848484848484,eltingville,303
0,17.261904761904763,emerson hill,197
0,-2.453491507144783,far rockaway,3618
0,-26.92778457772338,fieldston,597
0,-30.148698884758364,financial district,1879
0,-25.032736796158883,flatbush,6870
0,-19.91624011167985,flatiron district,1721
0,-26.56758012076173,flatlands,3162
0,45.3125,floral park,93
0,-6.933333333333333,flushing,4886
0,-16.469719350073856,fordham,4524
0,-2.5473546701502285,forest hills,1492
0,-6.622516556291391,fort greene,2115
0,11.17117117117117,fresh meadows,1234
0,-24.70308788598575,gerritsen beach,951
0,-4.042553191489362,glen oaks,451
0,5.714285714285714,glendale,703
0,2.613065326633166,gowanus,1021
0,-40.458015267175576,gramercy park,2028
0,-22.14076246334311,graniteville,1062
0,7.013574660633484,grant city,473
0,-9.850746268656717,grasmere,302
0,-16.249707739069443,gravesend,3582
0,-25.522388059701495,great kills,499
