,change in diversity_index,2019 diversity_index,neighborhood,change in poverty_prop,2019 poverty_prop,change in white_prop,2019 white_prop,change in median_household_inc,2019 median_household_inc,change in singleunitbuilding_price,2019 singleunitbuilding_price,change in asian_prop,2019 asian_prop,change in black_prop,2019 black_prop,change in hispanic_prop,2019 hispanic_prop
0,-1.492537313432837,0.66,astoria,-38.94736842105263,0.116,6.223175965665229,0.495,47.3609635139922,83200.0,46.6140293051269,978590,1.3793103448275876,0.147,-24.6376811594203,0.052,-6.164383561643823,0.274
0,5.000000000000004,0.63,bay ridge,-7.189542483660137,0.142,-5.633802816901395,0.536,37.06984667802385,80460.0,30.55235100974886,1029810,-4.8387096774193585,0.236,162.5,0.021,27.142857142857125,0.178
0,5.7692307692307745,0.55,baychester,-19.339622641509425,0.171,-24.999999999999993,0.057,18.587221285366308,63290.0,22.464594259076286,483380,-11.111111111111102,0.016,-5.937500000000005,0.602,12.79999999999999,0.282
0,8.064516129032265,0.67,bayside,-12.328767123287664,0.064,-17.965367965367967,0.379,13.839859731151375,97390.0,23.701833782405107,945750,7.5916230366492075,0.411,566.6666666666667,0.06,4.687500000000004,0.134
0,-13.725490196078432,0.44,bedford,-30.886850152905197,0.226,-13.888888888888884,0.062,31.51680290644868,43440.0,95.46750992063492,630500,30.0,0.065,-38.647342995169076,0.127,10.909090909090901,0.732
0,15.51724137931036,0.67,bedford stuyvesant,-25.081433224755695,0.23,101.36986301369863,0.294,43.27094474153298,64300.0,171.42605145780308,1077100,-23.07692307692308,0.03,-24.12645590682196,0.456,-2.500000000000002,0.195
0,4.0000000000000036,0.52,belmont,-7.356321839080454,0.403,-21.951219512195124,0.032,-0.6808169803764518,24800.0,14.893197872400304,408250,-14.285714285714285,0.006,19.5364238410596,0.361,-7.389937106918246,0.589
0,8.196721311475418,0.66,bensonhurst,4.285714285714269,0.146,-24.2603550295858,0.384,29.368670545141136,60040.0,31.801475950179388,903710,21.661721068249243,0.41,999.9999999999998,0.011,19.402985074626862,0.16
0,-2.1739130434782625,0.45,borough park,-16.770186335403725,0.268,1.5492957746478888,0.721,31.942544459644324,57870.0,80.71080538836343,1261000,-22.08588957055215,0.127,0.0,0.015,4.99999999999999,0.105
0,2.9850746268656576,0.69,broad channel,-19.196428571428577,0.181,-9.776536312849156,0.323,-0.5674002751031637,57830.0,12.164218932221146,567450,170.00000000000003,0.027,-1.3192612137203177,0.374,10.638297872340436,0.26
0,-2.857142857142844,0.68,bronxdale,-30.80568720379147,0.146,-37.59398496240601,0.166,15.548838088040808,61160.0,23.829641225794,577430,8.888888888888898,0.098,18.181818181818183,0.234,11.792452830188676,0.474
0,-5.714285714285704,0.66,brooklyn heights,-23.75690607734806,0.138,22.014051522248252,0.521,34.550045913682276,117220.0,27.9953640648588,3467740,71.2121212121212,0.113,-32.33333333333333,0.203,-26.347305389221564,0.123
0,20.5128205128205,0.47,brownsville,-13.819095477386934,0.343,850.0,0.038,3.4547738693467336,32940.0,44.08431157115596,498330,124.99999999999997,0.009,-7.5675675675675595,0.684,4.065040650406507,0.256
0,24.489795918367346,0.61,bushwick,-27.368421052631575,0.207,128.88888888888889,0.206,54.893238434163706,69640.0,210.6527574841143,914220,44.827586206896555,0.042,-20.725388601036272,0.153,-17.690058479532176,0.563
